Game ID,Game Name,Bet Name,Market Name,Sportsbook,line,Odds
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 60.5,Team Total,DraftKings,60.5,200.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 61.5,Team Total,DraftKings,61.5,170.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 62.5,Team Total,DraftKings,62.5,140.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 63.5,Team Total,DraftKings,63.5,120.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 64.5,Team Total,DraftKings,64.5,100.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 66.5,Team Total,DraftKings,66.5,-140.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 67.5,Team Total,DraftKings,67.5,-165.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 68.5,Team Total,DraftKings,68.5,-200.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 69.5,Team Total,DraftKings,69.5,-240.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 70.5,Team Total,DraftKings,70.5,-285.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 71.5,Team Total,DraftKings,71.5,-350.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 72.5,Team Total,DraftKings,72.5,-425.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 73.5,Team Total,DraftKings,73.5,-500.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 74.5,Team Total,DraftKings,74.5,-650.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 75.5,Team Total,DraftKings,75.5,-750.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State,Moneyline,DraftKings,,-278.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming,Moneyline,DraftKings,,225.0
28802-29071-2024-12-31,Wyoming vs Boise State,Over 137.5,Total Points,DraftKings,137.5,-108.0
28802-29071-2024-12-31,Wyoming vs Boise State,Under 137.5,Total Points,DraftKings,137.5,-112.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State -6.5,Point Spread,DraftKings,-6.5,-110.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming +6.5,Point Spread,DraftKings,6.5,-110.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 61.5,Team Total,DraftKings,61.5,-750.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 62.5,Team Total,DraftKings,62.5,-600.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 63.5,Team Total,DraftKings,63.5,-500.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 64.5,Team Total,DraftKings,64.5,-425.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 65.5,Team Total,DraftKings,65.5,-340.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 66.5,Team Total,DraftKings,66.5,-280.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 67.5,Team Total,DraftKings,67.5,-235.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 68.5,Team Total,DraftKings,68.5,-200.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 69.5,Team Total,DraftKings,69.5,-165.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 70.5,Team Total,DraftKings,70.5,-145.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 72.5,Team Total,DraftKings,72.5,-105.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 73.5,Team Total,DraftKings,73.5,110.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 74.5,Team Total,DraftKings,74.5,130.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 75.5,Team Total,DraftKings,75.5,150.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 76.5,Team Total,DraftKings,76.5,180.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 77.5,Team Total,DraftKings,77.5,210.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 78.5,Team Total,DraftKings,78.5,245.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 79.5,Team Total,DraftKings,79.5,285.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 80.5,Team Total,DraftKings,80.5,330.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Over 81.5,Team Total,DraftKings,81.5,380.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 61.5,Team Total,DraftKings,61.5,425.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 62.5,Team Total,DraftKings,62.5,370.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 63.5,Team Total,DraftKings,63.5,320.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 64.5,Team Total,DraftKings,64.5,275.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 65.5,Team Total,DraftKings,65.5,235.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 66.5,Team Total,DraftKings,66.5,200.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 67.5,Team Total,DraftKings,67.5,170.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 68.5,Team Total,DraftKings,68.5,145.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 69.5,Team Total,DraftKings,69.5,125.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 70.5,Team Total,DraftKings,70.5,105.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 72.5,Team Total,DraftKings,72.5,-130.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 73.5,Team Total,DraftKings,73.5,-150.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 74.5,Team Total,DraftKings,74.5,-180.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 75.5,Team Total,DraftKings,75.5,-210.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 76.5,Team Total,DraftKings,76.5,-250.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 77.5,Team Total,DraftKings,77.5,-295.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 78.5,Team Total,DraftKings,78.5,-360.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 79.5,Team Total,DraftKings,79.5,-425.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 80.5,Team Total,DraftKings,80.5,-525.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State Under 81.5,Team Total,DraftKings,81.5,-650.0
87393-21650-2024-12-31,Fresno State vs New Mexico,New Mexico Over 78.5,Team Total,DraftKings,78.5,-800.0
87393-21650-2024-12-31,Fresno State vs New Mexico,New Mexico Over 79.5,Team Total,DraftKings,79.5,-650.0
87393-21650-2024-12-31,Fresno State vs New Mexico,New Mexico Over 80.5,Team Total,DraftKings,80.5,-500.0
87393-21650-2024-12-31,Fresno State vs New Mexico,New Mexico Over 81.5,Team Total,DraftKings,81.5,-400.0
87393-21650-2024-12-31,Fresno State vs New Mexico,New Mexico Over 82.5,Team Total,DraftKings,82.5,-330.0
87393-21650-2024-12-31,Fresno State vs New Mexico,New Mexico Over 83.5,Team Total,DraftKings,83.5,-265.0
87393-21650-2024-12-31,Fresno State vs New Mexico,New Mexico Over 84.5,Team Total,DraftKings,84.5,-220.0
87393-21650-2024-12-31,Fresno State vs New Mexico,New Mexico Over 85.5,Team Total,DraftKings,85.5,-180.0
